"RecordId","BusinessName","FullAddress","StreetNumber","StreetDirectional","StreetName","StreetSuffix","PostDirectional","UnitDesignator","UnitNumber","CityName","StateCode","Zip","Zip4","AddressTypeIndicator","DeliverabilityIndicator","Phone","PhoneCode","PubDate","SolicitationRestrictions","PrimaryBusinessClassificationFlag","SIC1","SIC2","SIC3","SIC4","SIC5","SIC6","BusinessFlag","FileMaintenanceFlag","Latitude","Longitude","PrecisionCode","FIPS","RBOCUnique","VanityCityName","BookNumber","DirectoryPage","RecordNumber","WebAddress","BDC1","BDC2","BDC3","BDC4","BDC5","BDC6","CaptionCounter","Caption1","Caption2","Caption3","Caption4","Caption5","Caption6","MSA","NAICS1","NAICS2","NAICS3","NAICS4","NAICS5","NAICS6","Fax","CaptionParentFlag","CaptionSequenceNumber","SectionNumber","ChangeCode","VerificationFlag","BCSFlag","SYPH1","SYPH2","SYPH3","SYPH4","SYPH5","SYPH6","TransactionCreateDate","SalesVolume","EmployeeSize","ContactFirstName","ContactLastName","ContactTitle","ContactGender","SohoFlag","EthnicOwnedBusiness","WomenOwnedBusiness","MasterRecordId","SecondPhoneNumber","SecondPhoneNumberCode","AgeOfRecord","AddressPrivacyFlag","ChainID","CBSA"
"0000445076","MARSHALL J HANDLY ATTY","9 ABBOTT ST","9","","ABBOTT","ST","","","","BEVERLY","MA","01915","4537","S","1","9789215544","P","201509","","I","81110000","","","","","","5","","42.547780","-070.877706","1","250090559505595","","BEVERLY","033758","0025","0001","","11180200","22060100","23010100","","","","0","","","","","","","","5411100000","","","","","","","C","000002","005","","V","P","021021","","","","","","","","","MARSHALL","HANDLY","ATTY","M","","","","N00018NJHT","","","20151007","","","14460"
"0067960951","EDWARD J CANTILLON III FUNRL DIR","263 MAIN ST","263","","MAIN","ST","","","","WOBURN","MA","01801","5003","S","1","7819330400","P","201509","T","K","72610000","","","","","","5","","42.476591","-071.150186","A","250178103581035","U","WOBURN","","","","","11133300","","","","","","0","","","","","","","","8122100000","","","","","","","C","000001","","","T","P","099500","","","","","","","","","EDWARD","III","","M","N","N","N","N0003QCD29","","","20151007","","","14460"
"0083334478","ANGUS P MCINTYRE MD","85 HERRICK ST","85","","HERRICK","ST","","","","BEVERLY","MA","01915","1790","S","1","9789276850","P","201509","T","A","80110000","72990214","","","","","5","","42.564067","-070.875431","A","250090559505595","","BEVERLY","033758","0036","0001","","18030700","22080801","","","","","0","","","","","","","","6211110000","8121990204","","","","","","C","000001","005","","V","P","172970","144160","","","","","","","","ANGUS","MCINTYRE","MD","M","","","","N00018LABC","","","20151007","","","14460"
"0085687026","PATRICIA L BURKE PSYCHOTHRPST","100 CUMMINGS CTR STE 307L","100","","CUMMINGS","CTR","","STE","307L","BEVERLY","MA","01915","6107","H","1","9789223301","P","201509","T","I","80490320","83221000","","","","","5","","42.559021","-070.886853","2","250090559505595","","BEVERLY","033758","0009","0001","","18031700","12052000","","","","","0","","","","","","","","6213300315","6241900700","","","","","","C","000002","005","","V","P","185690","217320","","","","","","H","1","PATRICIA","BURKE","PSYCHOTHRPST","F","N","N","N","N0000TJYAT","","","20151007","","","14460"
"0085687027","NANCY J NAZAROFF PSYCHOTHRPST","100 CUMMINGS CTR STE 307L","100","","CUMMINGS","CTR","","STE","307L","BEVERLY","MA","01915","6107","H","1","9789223301","P","201509","T","I","80490320","","","","","","6","","42.559021","-070.886853","2","250090559505595","","BEVERLY","033758","0038","0001","","18031700","","","","","","0","","","","","","","","6213300315","","","","","","","C","000001","005","","V","P","185690","","","","","","","A","4","NANCY","NAZAROFF","PSYCHOTHRPST","F","N","N","N","N0000TJYAT","","","20151007","","","14460"
"0085687288","DR TINA R WAUGH MD","38 ENON ST","38","","ENON","ST","","","","BEVERLY","MA","01915","1139","S","1","9789277727","P","201509","T","I","80110000","","","","","","6","","42.586250","-070.885321","A","250090559505595","","BEVERLY","033758","0058","0001","","18030700","","","","","","0","","","","","","","","6211110000","","","","","","","C","000001","005","","V","P","172970","","","","","","","B","","TINA","WAUGH","MD","F","N","N","N","N00018ILSL","","","20151007","","","14460"
"0113926083","HENEY WILLIAM ATTORNEY AT LAW","86 DODGE ST","86","","DODGE","ST","","","","BEVERLY","MA","01915","1036","S","1","9789211050","P","201509","","I","81110000","","","","","","5","","42.578678","-070.888647","A","250090559505595","","BEVERLY","533069","0145","0001","heneylaw.com|HENEYLAW.COM","11180200","22060100","23010100","","","","0","","","","","","","","5411100000","","","","","","","C","000001","001","","V","P","021021","","","","","","","","","WILLIAM","HENEY","ATTORNEY AT LAW","M","","","","N0000O85UI","9789212010","P","20151007","","","14460"
"0113926117","RENEAU LONGORIA ATTY","100 CUMMINGS CTR STE 225D","100","","CUMMINGS","CTR","","STE","225D","BEVERLY","MA","01915","6113","H","1","9789212670","P","201509","","I","81110000","","","","","","6","","42.559021","-070.886853","2","250090559505595","","BEVERLY","033758","0032","0001","DGANDL.COM","11180200","22060100","23010100","","","","0","","","","","","","","5411100000","","","","","","","C","000002","005","","V","P","021021","","","","","","","","","RENEAU","LONGORIA","ATTY","U","","","","N0000M10UO","","","20151007","","","14460"
"0124707645","TINA BUCHS LICSW","234 CABOT ST","234","","CABOT","ST","","","","BEVERLY","MA","01915","5723","H","3","9789271441","P","201509","T","I","80490320","83221000","","","","","5","","42.548885","-070.878506","1","250090559505595","","BEVERLY","533069","0195","0001","","18031700","12052000","","","","","0","","","","","","","","6213300315","6241900700","","","","","","C","000001","001","","V","P","185690","217320","","","","","","","","TINA","BUCHS","LICSW","F","","","","MR41892598","","","20151007","","","14460"
"0126280219","NANCY DAVIS LICSW","8 THORNDIKE ST","8","","THORNDIKE","ST","","","","BEVERLY","MA","01915","5858","H","3","9789210708","P","201509","T","A","83221000","83220406","83220500","","","","5","","42.547405","-070.877970","A","250090559505595","","BEVERLY","033758","0016","0001","","12052000","12050900","12051500","","","","0","","","","","","","","6241900700","6241900305","6241200300","6241900400","","","","C","000001","005","","V","P","217320","067710","067620","","","","","","","NANCY","DAVIS","LICSW","F","","","","N0000RTVNQ","","","20151007","","","14460"
