"RecordId","OnePerId","OnePerFlag","OrgFlag","GroupFlag","EBDFFlag","MasterRecordId"
"0000395227","0000395227","TRUE","","","TRUE","MA04458150"
"0000395243","0000395243","TRUE","","","TRUE","MF12372164"
"0000395264","0000395264","TRUE","","","TRUE","MR06188271"
"0000395268","0000395268","TRUE","","","TRUE","MA05040300"
"0000395294","0000395294","TRUE","","","TRUE","N0000LGS8Y"
"0000395311","0000395311","TRUE","","","TRUE","MA04796537"
"0000395313","0000395313","TRUE","","","TRUE","MA04646241"
"0000395323","0000395323","TRUE","","","TRUE","MA04228356"
"0000395344","0000395344","TRUE","","","TRUE","MA04225293"
"0000395393","0000395393","TRUE","","","TRUE","MA04380561"
"0000395408","0000395408","TRUE","","","TRUE","MA04891001"
"0000395412","0000395412","TRUE","","","TRUE","MA05083488"
"0000395417","0000395417","TRUE","","","TRUE","MA04118254"
"0000395432","0000395432","TRUE","","","TRUE","MA05025713"
"0000395469","0000395469","TRUE","","","TRUE","MA04639105"
"0000395481","0000395481","TRUE","","","TRUE","MA04367582"
"0000395482","0000395482","TRUE","","","TRUE","MR01414135"
"0000395503","0000395503","TRUE","","","TRUE","MA04865114"
"0000395517","0000395517","TRUE","","","TRUE","MA05022792"
"0000395538","0000395538","TRUE","","","TRUE","MA04069473"
"0000395540","0000395540","TRUE","","","TRUE","MA05174664"
"0000395543","0000395543","TRUE","","","TRUE","MA04771078"
"0000395602","0000395602","TRUE","","","TRUE","MA04155160"
"0000395625","0000395625","TRUE","","","TRUE","MA04668479"
"0000395644","0000395644","TRUE","","","TRUE","MA04752368"
"0000395652","0000395652","TRUE","","","TRUE","MA05196857"
"0000395680","0000395680","TRUE","","","TRUE","MA04865025"
"0000395703","0000395703","TRUE","","","TRUE","MA04499407"
"0000395736","0000395736","TRUE","","","TRUE","MA05267278"
"0000395770","0000395770","TRUE","","","TRUE","MA04073547"
"0000395771","","","","","","MA04065442"
"0000395784","0000395784","TRUE","","","TRUE","MA04149751"
"0000395801","0000395801","TRUE","","","TRUE","MA04482257"
"0000395817","0000395817","TRUE","","","TRUE","MF00570196"
"0000395824","0000395824","TRUE","","","TRUE","MA04891232"
"0000395834","0000395834","TRUE","","","TRUE","MA04141668"
"0000395864","0000395864","TRUE","","","TRUE","MA04483266"
"0000395883","0000395883","TRUE","","","TRUE","MA04892181"
"0000395953","0000395953","TRUE","","","","MA04102197"
"0000396003","0000396003","TRUE","","","TRUE","MA04382131"
"0000396009","0000396009","TRUE","","","TRUE","MA04367936"
"0000396029","0000396029","TRUE","","","TRUE","MA04403670"
"0000396048","0000396048","TRUE","","","TRUE","MA04367247"
"0000396058","0000396058","TRUE","","","TRUE","MA04063590"
"0000396088","0000396088","TRUE","","","TRUE","MA04268780"
"0000396110","0000396110","TRUE","","","TRUE","MA04387583"
"0000396175","0000396175","TRUE","","","TRUE","MA05199106"
"0000396180","0000396180","TRUE","","","TRUE","MA04370933"
"0000396243","0000396243","TRUE","","","","N0003OXWI9"
"0000396275","0000396275","TRUE","","","TRUE","MA05082650"
"0000396292","0000396292","TRUE","","","TRUE","MA04480357"
"0000396309","0000396309","TRUE","","","TRUE","MA04070069"
"0000396334","0000396334","TRUE","","","TRUE","MA04493027"
"0000396361","0000396361","TRUE","","","TRUE","MA04921318"
"0000396365","0000396365","TRUE","","","TRUE","MA04866652"
"0000396381","0000396381","TRUE","","","TRUE","MA05267227"
"0000396383","0000396383","TRUE","","","TRUE","MA04890693"
"0000396389","0000396389","TRUE","","","TRUE","MA04483010"
"0000396462","0000396462","TRUE","","","TRUE","MA04063604"
"0000396470","0000396470","TRUE","","","TRUE","MA04891356"
"0000396500","0000396500","TRUE","","","TRUE","MA05033179"
"0000396502","0000396502","TRUE","","","TRUE","MA04063573"
"0000396546","0000396546","TRUE","","","TRUE","MA05244803"
"0000396557","0000396557","TRUE","","","TRUE","MA04379129"
"0000396565","0000396565","TRUE","","","TRUE","MA04133339"
"0000396576","0000396576","TRUE","","","TRUE","MA04771087"
"0000396591","0000396591","TRUE","","","TRUE","N0000R86SU"
"0000396599","0000396599","TRUE","","","TRUE","MA04748688"
"0000396608","0000396608","TRUE","","","TRUE","MA04376430"
"0000396620","0000396620","TRUE","","","TRUE","MA04496370"
"0000396636","0000396636","TRUE","","","TRUE","MA04503441"
"0000396640","0000396640","TRUE","","","TRUE","MA04530181"
"0000396678","0000396678","TRUE","","","TRUE","MA04264088"
"0000396710","0000396710","TRUE","","","TRUE","MA04501135"
"0000396740","0000396740","TRUE","","","TRUE","MA04955604"
"0000396769","0000396769","TRUE","","","TRUE","MA05175148"
"0000396793","0000396793","TRUE","","","TRUE","MA04657657"
"0000396812","0000396812","TRUE","","","TRUE","MA04700170"
"0000396830","0000396830","TRUE","","","TRUE","MA04339556"
"0000396836","0000396836","TRUE","","","TRUE","MA04674840"
"0000396858","0000396858","TRUE","","","TRUE","MA05041715"
"0000396859","0000396859","TRUE","","","TRUE","MA04071266"
"0000396865","0000396865","TRUE","","","TRUE","MA04264923"
"0000396882","0000396882","TRUE","","","TRUE","MA04401175"
"0000396900","0000396900","TRUE","","","TRUE","MA04828328"
"0000396942","0000396942","TRUE","","","TRUE","MA05046723"
"0000396950","0000396950","TRUE","","","TRUE","MA04893172"
"0000396965","0000396965","TRUE","","","TRUE","MA04773443"
"0000396974","0000396974","TRUE","","","TRUE","MA04581435"
"0000397018","0000397018","TRUE","","","TRUE","MA05244983"
"0000397026","0000397026","TRUE","","","TRUE","MA04498866"
"0000397027","0000397027","TRUE","","","TRUE","MA04481365"
"0000397039","0000397039","TRUE","","","TRUE","MA04266387"
"0000397046","0000397046","TRUE","","","TRUE","MA04900697"
"0000397052","0000397052","TRUE","","","TRUE","MA04516760"
"0000397102","0000397102","TRUE","","","TRUE","MA04895681"
"0000397104","0000397104","TRUE","","","TRUE","MA04892158"
"0000397123","0000397123","TRUE","","","TRUE","MA04921335"
"0000397124","0000397124","TRUE","","","TRUE","MA04653557"
"0000397155","0000397155","TRUE","","","TRUE","MA04110479"
"0000397213","0000397213","TRUE","","","TRUE","MA04107004"
"0000397216","0000397216","TRUE","","","TRUE","MA04490747"
"0000397232","0000397232","TRUE","","","TRUE","MA05139120"
"0000397233","0000397233","TRUE","","","TRUE","MA05013462"
"0000397240","0000397240","TRUE","","","TRUE","MA04371470"
"0000397241","0000397241","TRUE","","","TRUE","MR02541645"
"0000397272","0000397272","TRUE","","","TRUE","N0000O8D4R"
"0000397274","0000397274","TRUE","","","TRUE","MA05269221"
"0000397300","0000397300","TRUE","","","TRUE","MA05084526"
"0000397322","0000397322","TRUE","","","TRUE","MA05302711"
"0000397326","0000397326","TRUE","","","TRUE","MA04490776"
"0000397407","0000397407","TRUE","","","TRUE","MA05039591"
"0000397420","0000397420","TRUE","","","TRUE","MA04624118"
"0000397432","0000397432","TRUE","","","TRUE","MA04065448"
"0000397440","0000397440","TRUE","","","TRUE","MF14215569"
"0000397451","0000397451","TRUE","","","TRUE","MA04101550"
"0000397461","0000397461","TRUE","","","TRUE","MA04485229"
"0000397474","0000397474","TRUE","","","TRUE","N00018JVTZ"
"0000397487","0000397487","TRUE","","","TRUE","MA05252179"
"0000397525","0000397525","TRUE","","","","MA04892869"
"0000397533","0000397533","TRUE","","","TRUE","MA04297259"
"0000397544","0000397544","TRUE","","","TRUE","MA04891493"
"0000397547","0000397547","TRUE","","","TRUE","MA04071259"
"0000397553","0000397553","TRUE","","","TRUE","MA04891299"
"0000397559","0000397559","TRUE","","","TRUE","MA04550719"
"0000397560","0000397560","TRUE","","","TRUE","MA04891260"
"0000397570","0000397570","TRUE","","","TRUE","MA04376445"
"0000397593","0000397593","TRUE","","","TRUE","MA04501969"
"0000397599","0000397599","TRUE","","","TRUE","MA04892885"
"0000397611","0000397611","TRUE","","","TRUE","MA04984488"
"0000397613","0000397613","TRUE","","","TRUE","MA04369650"
"0000397626","0000397626","TRUE","","","TRUE","MA04218445"
"0000397631","0000397631","TRUE","","","TRUE","MA04953425"
"0000397632","0000397632","TRUE","","","TRUE","MA04371938"
"0000397639","0000397639","TRUE","","","TRUE","MA04693434"
"0000397643","0000397643","TRUE","","","TRUE","MA04948253"
"0000397721","0000397721","TRUE","","","TRUE","MA05177654"
"0000397737","0000397737","TRUE","","","TRUE","MR08255612"
