"MasterRecordID","RecordID","DirectoryNumber","PubDate","DisplayName","BusinessName","CorporateName","StreetNum","PreDir","StreetName","StreetSuffix","PostDir","UnitDesig","SecNumber","CityName","StateCode","ZIP","ZIP4","Phone","PhoneCode","MailSuppression","NoSolicitation","PhoneSuppression","MSA","WebAddress","AdultContentFlag","SecondaryPhoneNumber","SecondaryPhoneNumberCode","EmailAddress","AdType","AdSize","CreditCardsAccepted","FreeCode","HoursofOperation","Language","DiscountCode","DeliveryCode","YearStarted","YearsInBus","Directions","Slogans","Products","ProductsSynonyms","Brands","BrandsSynonyms","Trademark","Services","ServicesSynonyms","Models","ModelsSynonyms","Specialties","SpecialtiesSynonyms","ProgramsOffered","ProgramsOfferedSynonyms","ProductFeatures","ProductFeaturesSynonyms","ServiceFeatures","ServiceFeaturesSynonyms","LocationFeatures","LocationFeaturesSynonyms","GroupsServed","GroupsServedSynonyms","IndustryType","IndustryTypeSynonyms","SpecialConsiderations","SpecialConsiderationsSynonyms","SpecialHours","SpecialHoursSynonyms","OrderingMethods","OrderingMethodsSynonyms","ProfessionalsOnStaff","ProfessionalsOnStaffSynonyms","PaymentMode","PaymentModeSynonyms","Associations","AssociationsSynonyms","Certifications","CertificationsSynonyms","GeneralContent","GeneralContentSynonyms","BusinessLink","PrimaryBusinessClassificationFlag","SYPH1","SYPH2","SYPH3","SYPH4","SYPH5","SYPH6","SIC1","SIC2","SIC3","SIC4","SIC5","SIC6","NAICS1","NAICS2","NAICS3","NAICS4","NAICS5","NAICS6","BDC1","BDC2","BDC3","BDC4","BDC5","BDC6","Fax","AgeOfRecord","AddressPrivacyFlag","ServiceArea","ChainID","CBSA","ActualSalesAmount","MailingAddress","MailingCity","MailingState","MailingZipCode","LandmarkAddress","LandmarkCity","LandmarkState","LandmarkZipCode","FranchiseChain","TollFree","Financing","GoogleCheckout","Invoice","LongLocalWebaddress","MenuLink","CouponLink","TwitterLink","LinkedInLink","FacebookLink","AlternateSocialLink","YouTubeVideoLink","LogoLink","Pinterest","Keywords","BusinessMobileNumber","CallTrackingNumber","ParkingOptions","ValidationOptions","ProfessionalAssociations","ATM","AlternativeBusinessName","AnchorHostBusiness","UnofficialLandmark","PriceRange","Reservations","BanquetMeetingRooms","RestaurantBarTypes","DressCode","ShuttleService","FreeInternet","InternetAccess","FoodCourt","ParkPermitRequired","EquipmentRentals","LodgingCampgrounds","LiveEntertainment","SmokingPreference","ZagatRating","GiftShop","PresenceofECommerce","GreenCompanyIndicator","SeasonalHours","CreditRating","Fortune_500_Flag","BusinessHours","Contact_First_Name","Contact_Last_Name","Contact_Title","Contact_Gender","VerificationFlag","DPBC","CRRT","EmployeeSizeRange","Ethnicity","Number_of_PCs","SalesVolume","SquareFootage"
"MA04458150","0000395227","533891","201509","","ACCU SPEC","","19","","MANNS","CT","","","","WOBURN","MA","01801","4227","7819334942","P","","","Y","","ACCUSPEC.BIZ","","","","","3","","","","","","","","1989","026","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2510082255619","I","139790","","","","","","76991006","","","","","","8113101604","","","","","","11223325","","","","","","","19990127","","","","14460","4084000","","","","","","","","","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N","","KENNETH","FAIRBANKS","OWNER","M","V","195","C029","D","","A","D","A"
"MF12372164","0000395243","533891","201509","","ACCURATE AUTO BODY","","68","","WINN","ST","","STE","1","WOBURN","MA","01801","2862","7819355010","P","","","Y","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2510016341233","S","026580","025360","024660","","","","75320401","75329901","75380000","","","","8111210401","8111210701","8111110200","","","","21020100","","","","","","","20130716","","","","14460","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","JAMES","STEPHENS","OWNER","M","V","011","C051","","","","A",""
"MR06188271","0000395264","701632","201509","","ADMIRAL METALS","","11","","FORBES","RD","","","","WOBURN","MA","01801","2103","7819338300","P","","","Y","","ADMIRALMETALS.COM","","781933068078193360247819386577","PPP","BURSTEINJ@ADMIRALMETALS.COM;ALES@ADMIRALMETALS.COM;CUSTOM@ADMIRALMETALS.COM","3","","AMV","","","","","","2006","009","","","ALUMINUM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","206900ATTR:BATTERIES|ALUMINUM|BRASS|COPPER|STAINLESS STEEL","","2510006367043","S","206900","147580","","","","","50930106","50519912","","","","","4239301103","4235100711","","","","","19220500","19113019","","","","","","19980522","","","","14460","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N","","KEVIN","QUIRK","EXECUTIVE","M","V","112","C058","B","","","F",""
"MA05040300","0000395268","701609","201509","","ADAMS ANIMAL CLINIC","","216","","CAMBRIDGE","RD","","","","WOBURN","MA","01801","4706","7819333369","PU","","","","","","","7819331191","L","","3","","","","J","","","","1950","065","","","MEDICAL","","","","","COMPLETE VETERINARY SERVICES|MEDICAL|SURGICAL|BOARDING & GROOMING AVAILABLE","KENNELS|LODGING","","","","","","","","","","","CLINICS","","","","","","","","","","","","VETERINARIANS","DVM","","","","","","","ESTABLISHED IN 1950","","2510073693342","S","246020","246021","","","","","07420200","","","","","","5419400300","","","","","","18030800","18050519","","","","","7819331191","19940200","","","","14460","854000","","","","","","","","","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N","HOP;APPT","MARTIN","NUGENT","DVM","M","V","166","C033","C","","","B",""
"N0000LGS8Y","0000395294","701632","201509","","ADVANCED DENTAL ASSOCIATES","","8","","CEDAR","ST","","STE","65","WOBURN","MA","01801","6362","7819373050","P","","","","","ADVANCED-DENTAL-ASSOCIATES.COM","","","","","3","","","","","","","","1996","019","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2510073716845","S","071770","","","","","","80210000","","","","","","6212100000","","","","","","18030300","","","","","","","19940200","","","","14460","660000","","","","","","","","","H","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","A","N","","JANET","PERNOKAS","MANAGER","F","V","652","C058","B","","B","B","A"
"MA04796537","0000395311","533891","201509","","AFTER SCHOOL CLUB","","60","","FOREST PARK","RD","","","","WOBURN","MA","01801","2439","7819377670","P","","","Y","","THEAFTERSCHOOLCLUB.ORG","","","","","3","","","","","","","","1995","020","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2510052174960","I","051790","","","","","","83510500","","","","","","6244100600","","","","","","22090106","","","","","","","19970300","","","","14460","568000","","","","","","","","","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","A","N","","CHRISTINE","SERSON","OWNER","F","V","606","C022","C","","B","B","B"
"MA04646241","0000395313","701632","201509","","A & G CENTER LESS GRINDING CO INC","","12","","JOHN","ST","","","","WOBURN","MA","01801","5611","7819355271","P","","","","","AGCENTERLESS.COM","","7819328062","L","","3","","","","","","","","1980","035","","","CUTTING|STEEL","","","","","","CUTTING|DELIVERIES|GRINDING|MACHINING|MANUFACTURING|STRAIGHTENING","","","GRINDING|MANUFACTURING|STEEL","MANUFACTURING","MACHINING","MANUFACTURING","CUTTING|STEEL","","","","","","","","","","","","","","","","","","","","","","","","","","2510191039233","I","139790","","","","","","76991006","","","","","","8113101604","","","","","","11223325","","","","","","7819328062","19970300","","","","14460","2167000","","","","","","","","","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N","","GUY","AGRI","OWNER","M","V","124","C054","C","","","D","B"
"MA04228356","0000395323","701609","201509","","ALL SEASONS SELF STORAGE","","55","","SALEM","ST","","","","WOBURN","MA","01801","3001","7819352121","P","","","Y","","allseasons-selfstorage.com|ALLSEASONSSELF-STORAGE.COM","","","","","3","","DMV","","E","","","","","","","","LOCKS","PADLOCKS","","","","SELF STORAGE|CLEAN SECURED FACILITY|24-HR & BURGLAR MONITORED|ON-SITE MANAGEMENT|LONG-TERM DISCOUNT RATES|CLIMATE CONTROLLED","APARTMENT|CLIMATIZED UNITS|CORPORATE ACCOUNTS|CORPORATE SERVICES|HOMEOWNERS|HOUSEHOLD|PERSONAL STORAGE|TEMPERATURE CONTROLLED UNITS","","","ANTIQUES","","","","","","","","SECURITY LIGHTING|SPRINKLER SYSTEMS","FIRE SPRINKLERS|WELL LIT","","","","","ON-SITE MANAGEMENT","RESIDENT MANAGEMENT|RESIDENT MANAGER","24-HOUR SERVICE","","","","","","","","","","","","COMPUTERIZED SECURITY ACCESS|RECEIVABLE SERVICES|223910ATTR:CLIMATE CONTROLLED|270196ATTR:RECORDS STORAGE|INSURANCE|LONG-TERM DISCOUNTS","YEARLY DISCOUNTS","2510016339972","S","223910","270196","","","","","42260400","42260700","73892803","","","","4931100400","4931900600","5614993301","","","","19231600","11131300","","","","","","19960100","","","","14460","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N","HOP;SU-SA","D","BERRY","OWNER","U","V","556","C026","A","","","A",""
"MA04225293","0000395344","701609","201509","","ALLEN GLASS & MIRROR","","256","","SALEM","ST","","STE","1","WOBURN","MA","01801","2096","7819334521","P","","","Y","","","","","","","3","","","","","","","","1987","028","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2510016340068","I","105890","","","","","","52310104","","","","","","4441903802","","","","","","25410400","","","","","","","19960100","","","","14460","670000","","","","","","","","","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N","","STEVEN","ALLEN","OWNER","M","V","012","C045","A","","","B",""
"MA04380561","0000395393","533891","201509","","AMERICAN CHINESE ART SOCIETY","","29","","MONTVALE","AVE","","","","WOBURN","MA","01801","7020","7819389900","P","","","Y","","ACAS-NE.COM","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2510016338803","I","202820","","","","","","82990201","","","","","","6116100501","","","","","","14010214","","","","","","","19970300","","","","14460","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ALBERT","GAW","TREASURER","M","V","993","C012","","","","B",""
